序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
138,7453401499742342454,,,,,,,,,,,,L1,7453418074161038091,我爱你中国,翻脸不认   《任》   先生,2581258951994116,0,0,2024-12-28 19:08:53,四川,
139,7453401499742342454,,,,,,,,,,,,L1,7453417789426139958,实干兴邦，[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][赞][赞][赞][赞][赞][赞],用户8431035269762,1631325720427214,0,0,2024-12-28 19:07:46,陕西,
140,7453401499742342454,,,,,,,,,,,,L1,7453417717991850811,请祖国保护妇女儿童,是星星鸭,108276911702,7,0,2024-12-28 19:07:26,安徽,
141,7453401499742342454,,,,,,,,,,,,L1,7453417711642428218,我们想看的是这些？,轻糖蛋糕,60939902279,9,0,2024-12-28 19:07:26,江苏,
142,7453401499742342454,,,,,,,,,,,,L1,7453417444423992121,女人是半边天，祖国请保护好我们的半边天吧,迷胡人,4318480535131629,7,0,2024-12-28 19:06:25,湖北,
143,7453401499742342454,,,,,,,,,,,,L1,7453417404980511526,严判贺忠阳!,不规则菱星,110119975545,27,0,2024-12-28 19:06:19,北京,
144,7453401499742342454,,,,,,,,,,,,L1,7453416999877985082,[666][666][666],孝玉,1623336897233544,0,0,2024-12-28 19:04:41,重庆,
145,7453401499742342454,,,,,,,,,,,,L1,7453423994507805499,我最亲爱的祖国，请保护妇女儿童,诚沅西西,483424937451000,47,0,2024-12-28 19:31:49,广东,
146,7453401499742342454,,,,,,,,,,,,L1,7453424664590877499,支持判死刑，祖国请保护妇女儿童[玫瑰][玫瑰][玫瑰],魔法少女007,110901748169,66,0,2024-12-28 19:34:26,河南,
147,7453401499742342454,,,,,,,,,,,,L1,7453416572566537017,[玫瑰][玫瑰][玫瑰],朝颜清,188750172795383,0,0,2024-12-28 19:03:02,广东,
148,7453401499742342454,,,,,,,,,,,,L1,7453416139961582376,祖国繁荣昌盛厉害啊[赞][赞][赞],灵先生💥,104235392436,5,0,2024-12-28 19:01:31,江苏,
149,7453401499742342454,,,,,,,,,,,,L1,7453415824645260092,十一年不够 十一年不够 十一年不够,4uoik🥀,80598638487,15,0,2024-12-28 19:00:06,河南,
150,7453401499742342454,,,,,,,,,,,,L1,7453415712112739123,11,哇哦,3450699660666765,13,0,2024-12-28 18:59:40,重庆,
