目录编号,视频ID,视频标题,视频URL,发布时间,发布时间_格式化,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数
050,7448118137075109135,免签国“朋友圈”持续扩容、共建“一带一路”开启新篇...1分钟视频带你感受！#绘说现代化,https://www.douyin.com/video/7448118137075109135,1734150403,2024-12-14 12:26:43,68,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2013,99,76,122093,46
096,7567934233667259675,#这些大国重器都是辽宁造 ！以科技创新引领产业创新，为辽宁全面振兴注入新动能！一起感受中国式现代化的磅礴力量！#绘说现代化 #AI大家创,https://www.douyin.com/video/7567934233667259675,1762047010,2025-11-02 09:30:10,82,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2006,121,53,65247,63
073,7507812260703849743,非遗里的“陕味”好上头！一起感受中国式现代化的蓬勃生机🤩#绘说现代化,https://www.douyin.com/video/7507812260703849743,1748048781,2025-05-24 09:06:21,52,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1976,98,29,91220,75
056,7464043488636718372,惊艳！冬天的新疆含金量有多高！ ,https://www.douyin.com/video/7464043488636718372,1737858300,2025-01-26 10:25:00,46,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1865,66,48,100882,40
080,7526005320070515987,1314公里的G331吉林段有多美？ 从长白山的清凉到鸭绿江的微风，#绘说现代化 带你走进吉林这条宝藏公路❤️,https://www.douyin.com/video/7526005320070515987,1752284675,2025-07-12 09:44:35,42,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1821,61,40,66963,61
081,7528600886927461658,你吃的菜可能就来自云南✌️平均每1分钟就有约40吨鲜蔬发往全国，“云菜” ——世界认识中国农业的鲜活名片！#绘说现代化,https://www.douyin.com/video/7528600886927461658,1752889000,2025-07-19 09:36:40,64,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1804,101,94,91697,57
077,7518280205874629938,打翻的调色盘、流动的风情画、文化的荟萃地……#绘说现代化 ，一起看新疆的N种打开方式！,https://www.douyin.com/video/7518280205874629938,1750486060,2025-06-21 14:07:40,57,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1779,106,40,91786,51
084,7536153664466029858,从南通“造岛神器”，到盐城“发电站”，再到连云港“海洋牧场”……江苏海洋经济不止于GDP！#绘说现代化  带你看“与海共生”的文明新篇🌊,https://www.douyin.com/video/7536153664466029858,1754701200,2025-08-09 09:00:00,75,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1768,68,31,87275,42
078,7520470158775684387,“不到4分钟便可收割一亩地”、“自动规划最优路线，不重割、不漏割”...1分钟看中国人三夏有多拼！#绘说现代化,https://www.douyin.com/video/7520470158775684387,1750995922,2025-06-27 11:45:22,61,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1728,107,60,99248,53
045,7435470357861059891,相约进博、共享未来，一起感受中国式现代化的磅礴力量！ #绘说现代化,https://www.douyin.com/video/7435470357861059891,1731205610,2024-11-10 10:26:50,104,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1712,85,98,130149,18
076,7515659057656548608,国人餐桌上，每10条大黄鱼就有8条来自福建宁德🤩一起走进福建，感受中国式现代化的磅礴力量！#绘说现代化,https://www.douyin.com/video/7515659057656548608,1749875744,2025-06-14 12:35:44,63,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1673,79,37,104236,45
097,7570155319674883328,#中国轻工业实力有多硬核 轻工业既事关人民美好生活，也关系国民经济增长。#绘说现代化 中国轻工业向新而行！#AI大家创 #媒体精选计划,https://www.douyin.com/video/7570155319674883328,1762564152,2025-11-08 09:09:12,51,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1620,117,18,109377,34
093,7559762788902653199,世界屋脊“追风逐日”！ 水力资源可开发量1.8亿千瓦，光伏资源可开发量98亿千瓦，风能资源可开发量1.1亿千瓦...西藏的清洁能源资源也太丰富了👍🏻 #绘说现代化  #AI大家创,https://www.douyin.com/video/7559762788902653199,1760144451,2025-10-11 09:00:51,46,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1607,66,20,56645,48
087,7543802760714669347,原来四川的“气场”这么足！以气为脉、以绿为底，四川正为国家能源安全与绿色转型注入澎湃动能👍#绘说现代化,https://www.douyin.com/video/7543802760714669347,1756428477,2025-08-29 08:47:57,71,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1599,72,25,60202,30
095,7564971243222125874,#湖南敢为天下新 在“三高四新”战略引领下，湖南正以前所未有的速度，创新发展、创造未来！#绘说现代化 解锁湘江之畔的创新密码👍#AI大家创,https://www.douyin.com/video/7564971243222125874,1761357132,2025-10-25 09:52:12,57,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1552,91,61,60887,35
071,7502686119960562996,一起走进不一样的河南，感受中国式现代化的创新活力。#绘说现代化,https://www.douyin.com/video/7502686119960562996,1746855448,2025-05-10 13:37:28,56,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1507,50,28,82641,38
086,7541587568748498202,海南十年再造海上海南！在海洋强国战略指引下，海南正构建“5+4+2”现代海洋产业体系🌊 一起感受中国式现代化的磅礴力量！#绘说现代化#AI大家创,https://www.douyin.com/video/7541587568748498202,1755921600,2025-08-23 12:00:00,68,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1502,77,30,81429,20
079,7523020899432303907,湖北好玩的地方也太太太多了吧🤩你能说出几个！一起走进湖北，感受中国式现代化蓬勃的脉动！#绘说现代化,https://www.douyin.com/video/7523020899432303907,1751589817,2025-07-04 08:43:37,53,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1443,70,32,65828,41
062,7478513036274273590,“稳”的态势巩固延续，“进”的步伐坚实有力！ 1分钟数读政府工作报告，感受中国式现代化的磅礴力量！#绘说现代化 #2025全国两会,https://www.douyin.com/video/7478513036274273590,1741227166,2025-03-06 10:12:46,60,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1439,106,157,73841,7
074,7510484975373421850,浙里好风景！浙江绘就中国式现代化文旅新范式👍 #绘说现代化 带你走进诗画江南❤️,https://www.douyin.com/video/7510484975373421850,1748671066,2025-05-31 13:57:46,53,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1305,58,16,82955,27
068,7494838859981720868,数字牧场、绿色养殖、AI赋能…山东的海上春耕已经是另一个level了！#绘说现代化（@人民网山东频道🫰 ）,https://www.douyin.com/video/7494838859981720868,1745028179,2025-04-19 10:02:59,38,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1078,35,24,56604,23
