目录编号,视频ID,视频标题,视频URL,发布时间,发布时间_格式化,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数
030,7396485913095834915,中国世界遗产总数达到59项！88秒看文化中国闪耀世界👏#绘说现代化,https://www.douyin.com/video/7396485913095834915,1722128593,2024-07-28 09:03:13,87,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,12533,1261,1099,840889,1315
029,7393633280182029618,万米海底，有“奋斗者”号；大山深处，有“中国天眼”；浩瀚太空，有“嫦娥”奔月…创新中国生机勃勃！#绘说现代化,https://www.douyin.com/video/7393633280182029618,1721464407,2024-07-20 16:33:27,104,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,10873,366,302,555057,7
031,7398734116654468367,暑期旅游，“热”力十足；新型消费，不断拓展！80秒看活力中国潜力十足🔥#绘说现代化,https://www.douyin.com/video/7398734116654468367,1722652040,2024-08-03 10:27:20,82,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,9139,965,940,715977,1780
043,7429939082479881487,茂名的荔枝、枣庄的石榴、东山的海鲜…90秒看中国农业大有可为！#绘说现代化,https://www.douyin.com/video/7429939082479881487,1729917795,2024-10-26 12:43:15,94,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,8887,1259,1275,545252,2007
040,7421919631377550607,75年砥砺奋进，75年换了人间！奋进中国，接力点赞👍 #绘说现代化 #有亿种骄傲叫我爱你中国,https://www.douyin.com/video/7421919631377550607,1728050338,2024-10-04 21:58:58,138,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,8671,283,249,397414,125
028,7391385791232068904,投入联合收割机60多万台，小麦机收占比超98%！点赞中国夏收的科技范儿👍#绘说现代化,https://www.douyin.com/video/7391385791232068904,1720941133,2024-07-14 15:12:13,87,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,8639,340,363,397083,153
018,7364200945644768538,当前我国劳动年龄人口接近9亿人，#追光的你 绘就新时代最美画卷！#绘说现代化,https://www.douyin.com/video/7364200945644768538,1714611657,2024-05-02 09:00:57,79,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,8626,542,263,958611,181
005,7331985805612764470,造汽车这件事，中国有多牛！从无到有，从有到大，从大到强，中国“智造”汽车正加速驶向全球🔥 #绘说现代化,https://www.douyin.com/video/7331985805612764470,1707110997,2024-02-05 13:29:57,64,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,8400,329,192,611729,199
015,7357239472414674210,数字中国一路向前！1分钟看中国5G技术有多强。 #绘说现代化,https://www.douyin.com/video/7357239472414674210,1712990814,2024-04-13 14:46:54,77,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,8137,760,1987,750986,415
023,7378297412256812322,去年新增1500多家国家级高新技术企业！河北向新而行，为中国式现代化贡献品牌力量！#绘说现代化,https://www.douyin.com/video/7378297412256812322,1717893748,2024-06-09 08:42:28,56,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,7815,257,194,588554,148
